encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds,pretrain_spec,lr,val_loss
tstcc,device:UCI:21,natural,2,5,82,UCI,0.8734375,0.8300674476501093,0.8625,0.8297227477083096,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.31789933070540427
tstcc,device:UCI:21,natural,2,5,83,UCI,0.8671875,0.8196819499865218,0.86875,0.8354960318075293,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.3333043858408926
tstcc,device:UCI:21,natural,2,5,84,UCI,0.8703125,0.8210054351833778,0.871875,0.8384373673036093,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.3139692947268484
tstcc,device:UCI:21,natural,2,5,85,UCI,0.8703125,0.8243040392694769,0.871875,0.8384373673036093,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.3245798202231523
tstcc,device:UCI:21,natural,2,5,86,UCI,0.86875,0.8193987128132395,0.865625,0.8325537419521061,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.3247291866689917
tstcc,device:UCI:21,natural,2,5,87,UCI,0.86875,0.824223939242194,0.865625,0.8325537419521061,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.32588205523788927
tstcc,device:UCI:21,natural,2,5,88,UCI,0.875,0.8251402761482985,0.865625,0.8303805940283813,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.3175355061888688
tstcc,device:UCI:21,natural,2,5,89,UCI,0.8796875,0.8400055388033323,0.871875,0.8406032677000418,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.3278639773838222
tstcc,device:UCI:21,natural,2,5,90,UCI,0.8796875,0.8357926461798414,0.86875,0.833321929524461,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.31898228861391537
tstcc,device:UCI:21,natural,2,5,91,UCI,0.8796875,0.8326919877101506,0.86875,0.833321929524461,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.3192678665742273
tstcc,device:UCI:21,natural,2,5,92,UCI,0.8703125,0.8312832655319788,0.865625,0.8347196423485386,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.34271195232868185
tstcc,device:UCI:21,natural,2,5,93,UCI,0.875,0.8356503424942787,0.86875,0.837661932203962,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.32270534373819615
tstcc,device:UCI:21,natural,2,5,94,UCI,0.8828125,0.8401663676952111,0.86875,0.8356275303643723,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.31419175565242624
tstcc,device:UCI:21,natural,2,5,95,UCI,0.878125,0.8343452112526712,0.86875,0.8354960318075293,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.32171256020664674
tstcc,device:UCI:21,natural,2,5,96,UCI,0.884375,0.8444488269465144,0.865625,0.8326861948682925,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.3214775092899794
tstcc,device:UCI:21,natural,2,5,97,UCI,0.884375,0.8416282884540479,0.865625,0.8305562632696389,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.31958591192960706
tstcc,device:UCI:21,natural,2,5,98,UCI,0.8875,0.8460086639840299,0.865625,0.8326861948682925,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.3290794786065817
tstcc,device:UCI:21,natural,2,5,99,UCI,0.878125,0.8328098952936474,0.865625,0.8303805940283813,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.3401467338204348
tstcc,device:UCI:21,natural,2,5,100,UCI,0.88125,0.8463416170648177,0.875,0.8454878454878454,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.34134511779993665
tstcc,device:UCI:21,natural,2,5,101,UCI,0.8875,0.844547381324718,0.86875,0.833321929524461,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.3355213941540569
tstcc,device:UCI:21,natural,2,5,102,UCI,0.884375,0.8457699333763162,0.86875,0.8375711654717085,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.32830348499119244
tstcc,device:UCI:21,natural,2,5,103,UCI,0.8859375,0.8416104102494358,0.86875,0.8330052635373855,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.3259352412074765
tstcc,device:UCI:21,natural,2,5,104,UCI,0.890625,0.852951680672269,0.865625,0.8305562632696389,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.32627215329557335
