encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds,pretrain_spec,lr,val_loss
tstcc,device:WISDM:36,natural,0,5,105,WISDM,0.75625,0.7476905258326201,0.7912946428571429,0.7545248042559496,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.5020521860569715
tstcc,device:WISDM:36,natural,0,5,106,WISDM,0.754296875,0.7539190915659233,0.78125,0.7561961950811673,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.5616817523592285
tstcc,device:WISDM:36,natural,0,5,107,WISDM,0.751953125,0.7422879482388711,0.7912946428571429,0.7522133742267096,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.48530359559559394
tstcc,device:WISDM:36,natural,0,5,108,WISDM,0.75234375,0.7489908366998499,0.7857142857142857,0.756006205805307,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.5138628491133984
tstcc,device:WISDM:36,natural,0,5,109,WISDM,0.75625,0.7462706543898786,0.7890625,0.748410390678432,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.49095657797131154
tstcc,device:WISDM:36,natural,0,5,110,WISDM,0.75859375,0.7584936348820976,0.7924107142857143,0.7699054982494432,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.5146152675817055
tstcc,device:WISDM:36,natural,0,5,111,WISDM,0.7546875,0.7439135213532952,0.7879464285714286,0.7420058051253607,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.48262921727395486
tstcc,device:WISDM:36,natural,0,5,112,WISDM,0.76015625,0.7580403238613742,0.7801339285714286,0.7527384484520607,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.5529772616656763
tstcc,device:WISDM:36,natural,0,5,113,WISDM,0.75234375,0.744273807392717,0.7935267857142857,0.7566662891703296,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.5043109296155828
tstcc,device:WISDM:36,natural,0,5,114,WISDM,0.751953125,0.7447162072682636,0.7845982142857143,0.7478002331174195,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.5599257671939475
